SOURCE	TARGET
طوموبيل	طوموبيل
صغير.	صغير.

واخا	وخا
توقف	توقف
هنايا،	هنايا،
قدام	قدام
هاد	هاد
الفيترينا؟	الفيترينا؟

كادير	كتدير
فيه	فيه
بزاف	بزاف
د لملحا.	دالملحة.

شحال	شحال
من	من
كارطونا	كارطونا
د لحليب	دالحليب
كاتشري	كتشري
ف السيمانا؟	فالسيمانا؟

واخا	وخا
تعاود	تعاود
تشرح	تشرح
لييا؟	لي؟

أوو،	أوو،
لهلا	الله لا
يخطيك.	يخطيك.
غادي	غادي
نقيس	نقيس
هادشي.	هاد الشي.

وخا	وخا
تشوف	تشوف
إيلا	ايلا
عندك	عندك
شي	شي
دوا	دوا
ديال	ديال
الدوخا	الدوخة
ت عطيه	تاعطيه
ليه،	ليه،
عفاك؟	عافاك؟

معرفتش	ما عرفتش
كيفاش	كيفاش
غادي	غادي
نشرح	نشرح
ليك	ليك
ب لونغلي.	بالاونجلي.

كيفاش	كيفاش
غادي	غادي
ندير	ندير
ليه؟	ليه؟

ايلا	ايلا
طرات	طرات
شي	شي
حاجا.	حاجة.
عيط	عيط
لييا.	لي.

سباغا	صباغة
ماط،	ماط،
عفاك.	عافاك.

نطلب	نطلب
لفطور	الفطور
دابا؟	دابا؟

قييد	قيد
عندك	عندك
هادشي	هاد الشي
كولو	كوله
حنا	حتى
نوصل	نوصل
ف لخر،	فالاخر،
عفاك.	عافاك.

طيحت	طيحت
الصوبا.	الصوبا.

لا،	لا،
معنديش	ما عنديش
بزاف	بزاف
د لفلوس.	دالفلوس.

اه،	آه،
غادي	غادي
ناخود	ناخوذ
الشومباني	الشومباني
مع	مع
المقبلات.	المقبلات.

خليني	خليني
نشوف	نشوف
ليك	ليك
ف لمحال	فالمحال
ديالنا	ديالنا
لاخور	الاخر
ايلا	ايلا
كان	كان
مازال	ما زال
باقي	باقي
عندهوم	عندهم
ف سطوك.	فالسطوك.

وقتاش	وقتاش
كاطلع	كطلع
لمارييا	الماري
د لبحر؟	دالبحر؟

باش	باش
ندير	ندير
بحت	بحث
على	على
تاريخ	تاريخ
ميريكان	مريكان
ف جامعة	فجامعة
هارفرد.	هارفرد.

بغيت	بغيت
نشري	نشري
شي	شي
شال	شال
لواليدا.	للواليدة.
عندها	عندها
كتر	اكثر
من	من
ستين	ستين
عام.	عام.

خدام	خدام
هنايا؟	هنايا؟

بغيت	بغيت
نخلص	نخلص
هاد	هاد
لموكالاما	الموكالامة
لي	اللي
درت.	درت.

كيفاش؟	كيفاش؟
يالاه	يالله
سالينا	سالينا
هاد	هاد
لماكلا	الماكلا
و جايبين	وجايبين
وحدا	واحدة
خرا.	اخرى.

عاودتي	عاودتي
أكدتي.	أكدتي.

واكا	وخا
توصلني	توصلني
ل سبيطار؟	لسبيطار؟

الريسطورو	الريسطورو
ماكايحل	ما كيحل
حتال	حتى
التمنيا	للثمانية
د الليل	دالليل
و كاتسد	وكتسد
معا	مع
لعشرة.	العشرة.

ينا	اينى
حجرا	حجرة
كادير؟	كيدير؟

بغيت	بغيت
شي	شي
كتاب	كتاب
ديال	ديال
الدراري	الدراري
الصغار،	الصغار،
عفاك.	عافاك.

سمحلي،	اسمح لي،
بغيت	بغيت
ن	من
آنيلي	انولي
الريزيرفاسيو	الريزيرفاسيو
ديالي.	ديالي.

فيناهييا	فين هي
لا	لا
بواط	بواط
ديال	ديال
الوقت؟	الوقت؟

بغين	بغيت
نلعب	نلعب
شي	شي
ماتش	ماتش
ديال	ديال
البيز	البيز
بول	بول
شي	شي
حاجة	حاجة
بروفيسيونيل.	بروفيسيونيل.

عندي	عندي
رينديفو	رونديفو
آخر	آخر
هاد	هاد
النهار.	النهار.

واش	واش
عندك	عندك
هادا	هادا
ف لخضر؟	فالاخضر؟

اه،	آه،
هاهوا	هاهوا
قدامي.	قدامي.
واخا	وخا
نشوف	نشوف
البيرمي	البيرمي
ديالك،	ديالك،
ايلا	ايلا
جات	جات
على	على
خاطرك؟	خاطرك؟

كاينين	كاينين
شي	شي
وطيلات	وطيلات
قل	قل
من	من
خمسين	خمسين
جنيه	جنيه
لليلة؟	لليلة؟

غادي	غادي
نقص	نقص
ليك	ليك
عشرين	عشرين
ف لميا	فالمية
من	من
تمانو.	ثمانه.

عندك	عندك
الخريطا	الخريطة
ديال	ديال
لا	لا
بيست	بيست
ديال	ديال
سكي؟	سكي؟

بالصحا.	بالصحة.

بالمناسبة،	بالمناسبة،
كيفاش	كيفاش
كاتجرب	كتجرب
البروغرام؟	البروغرام؟

عندك	عندك
شي	شي
حاجة	حاجة
تصرح	تصرح
بيها؟	بيها؟

وصل	وصل
ليا	لي
عفاك	عافاك
الباغاج	باغاج
ديالي	ديالي
لا	لا
شومبر.	شومبر.

فوجت	فوجت
مزيان.	مزيان.
شوكرا	شوكرا
على	على
كولشي.	كول شي.

شنو	شنو
لي	اللي
ب الزربا؟	بالزربا؟
را	را
عندنا	عندنا
مزال	مزال
لوقت.	الوقت.

اينا	اينا
طوبيس	طوبيس
كايمشي	كيمشي
ل بيكاديلي	لبيكاديلي
سيركوس؟	سيركوس؟

واخا	وخا
تصاوبو،	تصاوبه،
عفاك؟	عافاك؟

قطع	اقطع
ليا	لي
جوج	جوج
د لي	دلي
بييي؟	بييي؟

واخا	وخا
نخلص	نخلص
ب الماستر	بالماستر
كارت؟	كارت؟

لا	لا
شكرا	شكرا
على	على
واجب.	واجب.
بالمناسبة،	بالمناسبة،
واش	واش
كاين	كاين
شي	شي
تيليبوتيك	تيليبوتيك
قريب؟	قريب؟

عندي	عندي
جوايج	حوايج
ديال	ديال
التصبين .	التصبين.

فين	فين
جا	جا
لقصر؟	القصر؟

عندك	عندك
شي	شي
كبوط؟	كبوط؟

كاينين	كاينين
شي	شي
تداكر	تذاكر
باقين؟	باقين؟

هزو	هزو
يديكم.	يديكم.

شنو	شنو
باليك؟	باليك؟

كانهتمو	كنهتموا
ب الديانا.	بالديانة.

شتا	شتا
ولات	ولات
تلج	ثلج
دايب.	ذايب.

لفطور	الفطور
كايكون	كيكون
معا	مع
السبعا	السبعة
د الصباح،	دالصباح،
إلا	الا
السبت	السبت
و الحد.	والحد.

ديرو	ديروا
صماطيكوم	صماطيكم
عفاكم،	عافاكم،
و حبسو	واحبسوا
من	من
لكمايا	الكما
ملي	ماللي
تكون	تكون
الطيارا	الطيارة
طالعا؟	طالعة؟

بغيت	بغيت
لبانان.	البانان.

علاياش	علاياش
جاي	جاي
تريكلامي؟	تريكلامي؟

الشومبر	الشومبر
سبعميا	سبعمية
وجوج.	وجوج.
بغيتكم	بغيتكم
تفيقوني	تفيقوني
غدا	غدا
معا	مع
السبعا	السبعة
د الصباح،	دالصباح،
عفاك.	عافاك.

غالي	غالي
علييا.	علي.
وريني	وريني
ما	ما
رخص	ارخص
من	من
هاكا،	هاكا،
عفاك.	عافاك.

كانقرا	كنقرا
لونغلي.	الاونجلي.

خاصك	خاصك
تخلص	تخلص
خمسا	خمسة
دولار	دولار
و	وخمسة
خمساوعشرين	وعشرين
سانت	سانت
ف التلاتة	فالثلاثة
د الدقايق	دالدقايق
للي	اللي
جايين.	جايين.

خرجو	خرجوا
البيطاقات	البيطاقات
ديال	ديال
النزول.	النزول.

شحال	شحال
د لوقت	دالوقت
خاص	خاص
باش	باش
تمشي	تمشي
ل فيلاديفيا؟	لفيلاديفيا؟

كان	كان
كبير	كبير
و زعر.	وزعر.

بيييي	بيي
ديال	ديال
مشي	مشي
و مجي	ومجي
ل ميلانو،	لميلانو،
عفاك.	عافاك.

سميتي	سميتي
واطانابي	واطانابي
غورو.	غورو.

علا	علا
هاد	هاد
لحساب	الحساب
بشحال	بشحال
نصيفت	نصيفت
هاد	هاد
لبرييا؟	البريا؟

بغيت	بغيت
شي	شي
حاجا	حاجة
ل كحبا.	لكحبة.

شكون	شكون
معايا؟	معاي؟

كايبدا	كيبدا
معا	مع
التسعود.	التسعود.

نزل	انزل
ف المحطا	فالمحطة
الجايا	الجاية
شد	وشد
الطوبيس	الطوبيس
حتال	حتى
هايد	لهايد
بارك.	بارك.

بغيت	بغيت
شي	شي
بلاصا	بلاصة
ف الجناح،	فالجناح،
الله	الله
يخليك.	يخليك.

بغيت	بغيت
شيبس.	شيبس.

بغيت	بغيت
نبدل،	نبدل،
واش	واش
ممكن؟	ممكن؟

هاد	هاد
الرحلة	الرحلة
ديال	ديال
نص	نص
نهار	نهار
غادي	غادي
تكون	تكون
ب يابانيا؟	بيابانية؟

آه،	آه،
كانقلب	كنقلب
على	على
شي	شي
كادو	كادو
ل ختي.	لاختي.

غادي	غادي
ل موفيس.	لممفس.

ممكن	ممكن
تشوف	تشوف
ليا	لي
لا	لا
كاين	كاين
شي	شي
فول	فول
آكر	آخر
و لا	ولا
لا؟	لا؟

واخا	وخا
دوز	دوز
ليا	لي
السيدة	السيدة
كاوري	كاوري
واطاناب	واطاناب
كاين	كاينة
ف شومبر	فشومبر
تمنميا	ثمانمية
و حضاش؟	وحدعش؟

عندكم	عندكم
شي	شي
مشروبات	مشروبات
خرا؟	اخرى؟

يا	يا
ربي	ربي
السلاما.	السلامة.

تبع	اتبع
لبانو	البانو
ديال	ديال
الطاكسي.	الطاكسي.

إيياه،	ايه،
كانف	كان ف+
لكحل	الاكحل
و لقهوي.	والقهوي.

عنطيني	عطيني
شي	شي
حاجا	حاجة
تصلاح	تصلاح
لفم.	للفم.
را	را
تجرحو	تجرحوا
ليا	لي
بزاف	بزاف
معا	مع
لبرد.	البرد.

كاين	كاين
شي	شي
حاجا	حاجة
سبيسيال	سبيسيال
ديال	ديال
هنا؟	هنا؟

كانقلب	كنقلب
على	على
لباغاج	الباغاج
ديالي.	ديالي.

شي	شي
موناضا،	موناضة،
عفاك.	عافاك.

ملهوفين	ملهوفين
على	على
لا	لا
مود	مود
ف التلفازا	فالتلفازة
و لمجلات.	والمجلات.

واحد	واحد
لغاوري	الغاوري
ك	قال
الي	لي
آرا	آرا
نصورك،	نصورك،
عطيتو	عطيته
لاباراي،	الاباراي،
و ولد	وولد
لحرام	الحرام
هرب	هرب
ليا	لي
بيها.	بيها.

واش	واش
عندنا	عندنا
لوقت	الوقت
باش	باش
نضورو	نضوروا
ف لماغزا	فالمغازة
لداخل؟	الداخل؟

تصاوبو	تصاوبوا
ليا	لي
بتلاتين	بثلاثين
جنيه؟	جنيه؟

واش	واش
خاصنا	خاصنا
نتسناو	نتسناوا
بزاف؟	بزاف؟
كيما	كما
كان	كان
لحال	الحال
شكرا.	شكرا.

مخيرا	مخيرة
لا	لا
كانو	كانوا
كايعرفو	كيعرفوا
بزاف	بزاف
د لحوايج	دالحوايج
على	على
اليابان.	اليابان.

كانقلب	كنقلب
على	على
شي	شي
تدكار	تذكار
نديه	نديه
ل صحابي.	لصحابي.

بغيت	بغيت
نشد	نشد
شي	شي
كار	كار
ديال	ديال
التوريست.	التوريست.

بغيت	بغيت
نكري	نكري
جوج	جوج
بيكالات،	بيكالات،
عفاك.	عافاك.

عطيني	اعطيني
هادا.	هادا.
شنو	شنو
كاتسميوه؟	كتسميوه؟

ممكن	ممكن
ت آنيلي	تانولي
الريزيرفاسيو	الريزيرفاسيو
ديالي؟	ديالي؟

باين	باين
فيك	فيك
لعيا	الاعيا
بزاف.	بزاف.

فين	فين
كاين	كاين
لغطا؟	الغطا؟

بغيت	بغيت
ندير	ندير
شي	شي
ريحلا	ريحلة
نتعلم	نتعلم
فيها	فيها
كيفاش	كيفاش
نصاوب	نصاوب
الجرادي.	الجرادي.

كولو	كوله
معا	مع
هاد	هاد
لاصوص.	لاصوص.

سمحلي،	اسمح لي،
مالقيتش	ما لقيتش
لاباراي	الاباراي
ديالي.	ديالي.

بيرمانونت	بيرماننت
خفيف،	خفيف،
عافاك.	عافاك.

عدبتي	عدبتي
راسك	راسك
و جيتي	وجيتي
و نتا	وانت
ديجا	ديجا
مشغول.	مشغول.

جدي	جدي
شداتو	شداته
كريز	كريز
ديال	ديال
لقلب	القلب
لبارح.	البارح.

وقتاش	وقتاش
غادي	غادي
نتعشاو؟	نتعشاوا؟

لجو	الجو
مامضمونش.	ما مضمونش.
ديرو	ديروا
صماطيكم	صماطيكم
عفاكم.	عافاكم.

غادي	غادي
ل طوكيو.	لطوكيو.

اه،	آه،
انا	انا
توريست.	توريست.

فين	فين
كايتباعو	كيتباعوا
الصيكان	الصيكان
ديال	ديال
لكوير؟	الكوير؟

بغيت	بغيت
لحوت	الحوت
مقلي	مقلي
و لفريت،	والفريت،
عفاك.	عافاك.

لا،	لا،
ماشفت	ما شفت
حد	حد
حدايا.	حدايا.

آخر	آخر
واحد	واحد
يقدر	يقدر
يكدب.	يكذب.

كاتعرف	كتعرف
شي	شي
ديسكوطيك	ديسكوطيك
يقدرو	يقدروا
يمشيو	يمشيوا
ليها	ليها
لبنات	البنات
بلاما	بلا ما
يخافو؟	يخافوا؟

بغيت	بغيت
شي	شي
ريفيي،	ريفي،
عفاك.	عافاك.

تقريبا	تقريبا
شهر،	شهر،
آ سيدي.	آسيدي.

كانتسنا	كنتسنا
غي	غي
وقتاش	وقتاش
نشوفك.	نشوفك.

بغيت	بغيت
الصابون.	الصابون.

واخا	وخا
توريني	توريني
حوايج	حوايج
الدراري	الدراري
الصغار،	الصغار،
عفاك.	عافاك.

باقي	باقي
معرفتش	ما عرفتش
لعنوان	العنوان
ديالي.	ديالي.
ولكن	ولكن
عوال	عوال
نمشي	نمشي
ل شي	لشي
وطيل	وطيل
ف سا	فسان
فرانسيسكو.	فرانسيسكو.

واخا	وخا
تكتب	تكتب
لعنوان	العنوان
ديالك	ديالك
هنايا؟	هنايا؟

واخا.	وخا.
معاياش	معاياش
بغيتي	بغيتي
تريزيرفي؟	تريزيرفي؟
شحال	شحال
من	من
واحد؟	واحد؟

خاسك	خاصك
تشد	تشد
ليسر.	الايسر.

بغيت	بغيت
تعرض	نعرض
عليك	عليك
لغدا.	للغدا.

منين	منين
كايطلعو	كيطلعوا
للي	اللي
مسافرين	مسافرين
ف جابان	فجابان
ايرلاين	ايرلاين
ميتينو	ميتين
ربعين؟	واربعين؟

تحت	تحت
من	من
لكرسي،	الكرسي،
للي	اللي
مقابل	مقابل
معاك.	معاك.

حديقة	حديقة
الحيوانات	الحيوانات
باش	باش
بعيد	بعيد
من	من
هنا	هنا
تلات	ثلاث
شوارع.	شوارع.

غلس.	غلس.

فين	فين
كايتباع	كيتباع
التيكيت	التيكيت
ديال	ديال
ماتش	ماتش
ديال	ديال
بيزبول؟	بيزبول؟

بغيت	بغيت
شي	شي
بلاصا	بلاصة
ف لوج.	فلوج.

و من	ومن
بعد؟	بعد؟

بدون	بدون
شك.	شك.
راهم	راهم
جوج	جوج
بالز	باليز
و صاك،	وصاك،
خلي	خلي
عندك	عندك
لورقا،	الورقة،
عفاك.	عافاك.

نمشيو	نمشيوا
نعومو	نعوموا
هاد	هاد
لعشييا؟	العشية؟

إيلا	ايلا
بغيتي،	بغيتي،
ز يد	زيد
لفطور	الفطور
ديال	ديال
النغليز.	النغليز.

أول	اول
هدف	هدف
ف هاد	فهاد
لموسم.	الموسم.

يالاه	يالله
ندربو	ندربوا
طليلا.	طليلة.

غادي	غادي
نكري	نكري
هادي،	هادي،
معاها	معاها
لاسيرونس.	الاسيرونس.

ولاهيلا	ولاهيلا
كانعتادر	كنعتاذر
منك	منك
بزاف.	بزاف.

بشحال	بشحال
حتى	حتى
سياطل؟	لسياتل؟

التمن	الثمن
لعادي،	العادي،
عفاك.	عافاك.

الشومبر	الشومبر
ديالي	ديالي
كاطل	كتطل
على	على
واحد	واحد
الزنقا	الزنقا
فيها	فيها
الصداع	الصداع
بزاف.	بزاف.

خاصو	خاصه
يرجع	يرجع
ليوم	اليوم
معا	مع
الربعاونص	الاربعة ونص
هاد	هاد
لعشيا.	العشية.

كتب	اكتب
ليا	لي
عفاك	عافاك
شي	شي
ديكلاراسيو	ديكلاراسيو
ديال	ديال
لباغج	الباغاج
ديالي	ديالي
للي	اللي
ضاع	ضاع
ليا.	لي.

ماكانضنش	ما كا نظنش
غادي	غادي
يجيني.	يجيني.

الشييانتي،	الشييانتي،
عفاك.	عافاك.

بغيت	بغيت
عاصير	عاصير
لعنب.	العنب.

كاينشي	كاين شي
بلاصا	بلاصة
زوينا	زوينة
نقدر	نقدر
نشوفها	نشوفها
ف تالتا	فثلاثة
د السوايع؟	دالسوايع؟

فيناهو	فين هو
المكتب	المكتب
ديال	ديال
استلام	استلام
الامتعة	الامتعة
ديال	ديال
رحلة	رحلة
خطوط	خطوط
يونايتد	يونايتد
تمنميا	ثمانمية
وواحد؟	وواحد؟

خليني	خليني
نفكر	نفكر
شوييا.	شوية.

واش	واش
كاين	كاين
شي	شي
حضر	حضر
التجوال؟	التجوال؟

نقدر	نقدر
ناخد	ناخذ
شي	شي
بلايص	بلايص
ف الصف	فالصف
اللول	الاول
دابا،	دابا،
ولا	ولا
خاصني	خاصني
نتسنا	نتسنا
المرا	المرة
الجايا؟	الجاية؟

هاد	هاد
الضرسا	الضرسة
كاضرني.	كتضرني.

عندي	عندي
شي	شي
حموريا.	حمورية.
شمن	شمن
كريم	كريم
تجي	تجي
معايا؟	معاي؟

تصبح	تصبح
على	على
خير.	خير.

بغيت	بغيت
شي	شي
كينا	كينا
ديال	ديال
الراس.	الراس.

ماعندي	ما عندي
غي	غي
خمسين	خمسين
دولار.	دولار.

شكرا.	شكرا.
الشرف	الشرف
ليا.	لي.

بغيت	بغيت
شي	شي
بلايص	بلايص
مزيانين،	مزيانين،
عفاك.	عافاك.

لموني،	منو،
عفاك.	عافاك.

اه،	آه،
فهمت.	فهمت.
لغلط	الغلط
ديال،	ديالي،
سمحليا.	اسمح لي.

اه،	آه،
جاي.	جاي.

فقت	فقت
على	على
خاطري	خاطري
نهار	نهار
لحد.	الحد.

شحال	شحال
من	من
نهار	نهار
ل طوكيو؟	لطوكيو؟

شنو	شنو
هوما	هوما
لأفلام	الافلام
لي	اللي
كاينين	كاينين
دابا؟	دابا؟

اه،	آه،
مزيان.	مزيان.
نتلاقاو	نتلاقاوا
معا	مع
الستاونص.	الستة ونص.

اه،	آه،
الغرفا	الغرفة
ميتينو	ميتين
ربعاوتلاتين.	واربعة وثلاثين.
مراتي	مراتي
مريضا	مريضة
بزاف.	بزاف.

عندك	عندك
شي	شي
صمطا	صمطة
تجي	تجي
معاه؟	معاه؟

بلاسكار،	بلا سكار،
غي	غي
لاكريم.	لاكريم.

واخا،	وخا،
دابا	دابا
نديرو.	نديره.
والايني	والايني
بشحال؟	بشحال؟

جاي	جاي
من	من
ميريكان.	مريكان.

شنو	شنو
المحل	المحل
المفضل	المفضل
عندك؟	عندك؟

كنت	كنت
كانفكر	كنفكر
فالسيمانة	فالسيمانة
الأولى	الاولى
ديال	ديال
فبراير.	فبراير.
عاد	عاد
خاصني	خاصني
نهتم	نهتم
بالحجز.	بالحجز.

كاين	كاين
بزاف	بزاف
دالأنواع	دالانواع
ديال	ديال
الكلاب،	الكلاب،
ياك؟	ياك؟

بغيت	بغيت
الغرفة	الغرفة
اللي	اللي
هادية	هادية
كتر	اكثر
عندك.	عندك.

واش	واش
يمكن	يمكن
ليك	ليك
تزيد	تزيد
جبن	جبن
الشيدر؟	الشيدر؟

كانتاصل	كنتاصل
غير	غير
باش	باش
نشكرك	نشكرك
على	على
مساعدتك	مساعدتك
ليا	لي
مدة	مدة
إقامتي	اقامتي
فالولايات	فالولايات
المتحدة.	المتحدة.

واش	واش
بغيتي	بغيتي
تسيفطهم	تسيفطهم
بالبريد	بالبريد
الجوي	الجوي
أو لا	اولا
البري	البري
والبحري؟	والبحري؟

واش	واش
تقدر	تقدر
تنصحني	تنصحني
ببلايص	ببلايص
اللي	اللي
يمكن	يمكن
ليا	لي
نمشي	نمشي
ليها	ليها
و نرجع	ونرجع
فنهار؟	فنهار؟

هاد	هاد
الطريق	الطريق
مبدلة	مبدلة
على	على
اللي	اللي
اخدينا	اخذينا
البارح.	البارح.
واش	واش
هادي	هادي
مختصرة؟	مختصرة؟

ماشي	ماشي
بالضرورة.	بالضرورة.
كانضن	كنظن
باللي	باللي
تعلمو	تعلموا
يتعايشو	يتعايشوا
من	من
بعد	بعد
سنوات	سنوات
ديال	ديال
المنافسة.	المنافسة.

كيفاش	كيفاش
بغيتي	بغيتي
شعرك	شعرك
يكون؟	يكون؟

أنا	انا
من	من
الولايات	الولايات
المتحدة.	المتحدة.

واش	واش
يمكن	يمكن
لي	لي
نحصل	نحصل
على	على
سندويش	سندويش
بيبي؟	بيبي؟
و بغيت	وبغيت
المايونيز	المايونيز
أيضا،	أيضا،
عافاك.	عافاك.

فين	فين
جا	جا
المسرح؟	المسرح؟

جرحت	جرحت
صبعي.	صبعي.

النوبة	النوبة
ديالي؟	ديالي؟

واش	واش
ممكن	ممكن
الطلوع	الطلوع
للجبل	للجبل
بمعدات	بمعدات
خفيفة؟	خفيفة؟

فين	فين
يمكن	يمكن
لي	لي
نراقب	نراقب
الزيت؟	الزيت؟

هادي	هادي
الغرفة	الغرفة
رقم	رقم
تلاتة	ثلاثة
ربعة	اربعة
خمسة.	خمسة.
بغيت	بغيت
شي	شي
خدمة	خدمة
الغرف،	الغرف،
عافاك.	عافاك.

واش	واش
يمكن	يمكن
لي	لي
نشوف	نشوف
شي	شي
مطوية	مطوية
ديال	ديال
الجولات	الجولات
السياحية؟	السياحية؟

وصلني	وصلني
لأوطيل	لاوطيل
فور	فور
سيزن،	سيزن،
عافاك.	عافاك.

أنا	انا
و امراتي	ومراتي
بغينا	بغينا
نحلو	نحلوا
حساب	حساب
مشترك	مشترك
للادخار.	للادخار.

واش	واش
هاد	هاد
المنطقة	المنطقة
امنة	آمنة
للنسا؟	للنسا؟

جوج	جوج
بالغين	بالغين
و واحد	وواحد
الطفل،	الطفل،
عافاك.	عافاك.
بالمناسبة،	بالمناسبة،
شنو	شنو
كايعني	كيعني
هاد	هاد
بي	بي
جي	جي
اخمسطاش؟	خمستعش؟

عمرت	عمرت
واحد	واحد
الخزان.	الخزان.

واش	واش
كاتاخد	كتاخذ
بطاقة	بطاقة
إي	اي
بي	بي
سي؟	سي؟

ماعقلتش	ما عقلتش
فين	فين
خليتو.	خليته.

خاصني	خاصني
نسيفط	نسيفط
هاد	هاد
البدلة	البدلة
للتنظيف.	للتنظيف.

نعم.	نعم.
هادا	هادا
ساروت	ساروت
الغرفة	الغرفة
ديالي.	ديالي.

واش	واش
كاينة	كاينة
شي	شي
تعليمات	تعليمات
ديال	ديال
الاستعمال؟	الاستعمال؟

اشحال	شحال
كايسوى	كيسوى
التنبر	التنبر
ديال	ديال
هاد	هاد
البطاقة	البطاقة
البريدية؟	البريدية؟

اشناهي	اشنا هي
ميزة	ميزة
الفصل؟	الفصل؟

واش	واش
يمكن	يمكن
ليا	لي
نرد	نرد
فلوسي	فلوسي
على	على
هاد	هاد
الشي؟	الشي؟

عافاك	عافاك
قول	قول
ليا	لي
فين	فين
كاينة	كاينة
بلاصتي.	بلاصتي.

بغيت	بغيت
نبقى	نبقى
بمية	بمية
دولار.	دولار.

فعطلة.	فعطلة.

لا،	لا،
ماعنديش	ما عنديش
الوقت	الوقت
بزاف.	بزاف.
غير	غير
يتقاد.	يتقاد.

اطلبت	طلبت
أكل	اكل
نباتي.	نباتي.

ماكانعرفش	ما كا نعرفش
القياس	القياس
البريطاني.	البريطاني.

بغيت	بغيت
نشري	نشري
فيلم	فيلم
انعكاس	انعكاس
كوداك	كوداك
ديال	ديال
ستة	ستة
و تلاتين	وثلاثين
صورة.	صورة.

بغيت	بغيت
نبقى	نبقى
اكتر.	اكثر.

شناهي	شنا هي
الأجرة	الاجرة
تقريبا	تقريبا
لولشنطن	لواشنطن
سكوار	سكوار
بارك؟	بارك؟

عندي	عندي
التهاب	التهاب
مهبلي.	مهبلي.

بغيت	بغيت
مرشد	مرشد
خاص.	خاص.

واش	واش
تقدر	تقدر
تبدل	تبدل
هادا،	هادا،
عافاك؟	عافاك؟

بغيت	بغيت
نطرح	نطرح
عليك	عليك
واحد	واحد
السؤال	السؤال
بخصوص	بخصوص
النقطة	النقطة
رقم	رقم
تلاتة.	ثلاثة.
واش	واش
عندي	عندي
الصح	الصح
نعتاقد	نعتاقد
باللي	باللي
خاصني	خاصني
نخلص	نخلص
عبر	عبر
التحويل	التحويل
البنكي؟	البنكي؟

اسمعت	سمعت
باللي	باللي
السفينة	السفينة
تدمرات	تدمرات
بالاعصار.	بالاعصار.

اشمن	اشمن
نوع	نوع
دلمصنوعات	دالمصنوعات
بغيتي؟	بغيتي؟

شكرا	شكرا
لك	لك
بزاف.	بزاف.
كنتي	كنتي
جد	جد
خدوم .	خدوم.

مغادرة،	مغادرة،
من	من
فضلك.	فضلك.

واش	واش
تقدر	تقدر
تعطيني	تعطيني
واحد	واحد
البنج؟	البنج؟

بغيت	بغيت
نشوف	نشوف
ترينيتي	ترينتي
شورش.	شورش.

رحلة	رحلة
الطيران	الطيران
يو	يو
إي	اي
تمية	ثمانية
خمسة	خمسة
تلاتة.	ثلاثة.

واش	واش
تقدر	تقدر
دير	تدير
فطوري	فطوري
ساعة	ساعة
قبل	قبل
من	من
هاد	هاد
الشي؟	الشي؟

واش	واش
كايبيعو	كيبيعوا
الكحول	الكحول
فهاد	فهاد
المحل؟	المحل؟

آش	آش
من	من
وثائق	وثائق
غادي	غادي
نحتاج	نحتاج
باش	باش
ندخل	ندخل
للولايات	للولايات
المتحدة؟	المتحدة؟

هاد	هاد
الشي	الشي
مزيان	مزيان
بزاف.	بزاف.
شكرا	شكرا
لك.	لك.

بغيتك	بغيتك
تصاوب	تصاوب
ليا	لي
طربوش	طربوش
جديد.	جديد.

بغيت	بغيت
شي	شي
حاجة	حاجة
توقف	توقف
الغيلوف.	الغيلوف.

هاد	هاد
التذكرة	التذكرة
لبلاصة	لبلاصة
فالأوركسترا.	فالاوركسترا.
انت	انت
فالشرفة.	فالشرفة.

شحال	شحال
الفاتورة	الفاتورة
باش	باش
تتحاط	تتحاط
الطوموبيلة؟	الطوموبيلة؟

أوه،	اوه،
ماكانش	ما كانش
عليك .	عليك.
شكرا	شكرا
لك .	لك.
داك	داك
الشي	الشي
اللي	اللي
كنت	كنت
باغي.	باغي.

عافاك	عافاك
بدل	بدل
المصباح	المصباح
الكهربائي.	الكهربائي.

نعم،	نعم،
يمكن	يمكن
ليك.	ليك.
الغرفة	الغرفة
واجدة .	واجدة.
عافاك	عافاك
كتب	اكتب
اسمك	اسمك
و كنيتك	وكنيتك
هنا.	هنا.

ماشي	ماشي
مشكل.	مشكل.

واش	واش
غادي	غادي
نحتاج	نحتاج
لرخصة	لرخصة
صيد؟	صيد؟

اشحال	شحال
خصني	خصني
نخلص	نخلص
للساعة؟	للساعة؟

اشمن	اشمن
ساعة	ساعة
التسجيل؟	التسجيل؟

بغيت	بغيت
ناكل	ناكل
جراد	جراد
البحر	البحر
ني.	ني.

عافاك	عافاك
جيب	جيب
ليا	لي
فطوري	فطوري
مع	مع
السبعة.	السبعة.

غادي	غادي
نصيفط	نصيفط
ليك	ليك
هاد	هاد
التصويرة .	التصويرة.
الاسم	الاسم
و العنوان	والعنوان
ديالك،	ديالك،
عافاك.	عافاك.

غادي	غادي
ندرس	ندرس
العلوم	العلوم
